Spieltag,Status,Team_1,Team_2,Tore_Team_1,Tore_Team_2
09,PASS,Fortuna Düsseldorf,VfL Wolfsburg,0,3
09,PASS,TSG Hoffenheim,VfB Stuttgart,4,0
09,PASS,1. FC Nürnberg,Eintracht Frankfurt,1,1
09,PASS,RB Leipzig,FC Schalke 04,0,0
09,PASS,SV Werder Bremen,Bayer 04 Leverkusen,2,6
10,PASS,VfB Stuttgart,Eintracht Frankfurt,0,3
10,PASS,Bayern München,SC Freiburg,1,1
10,PASS,FC Schalke 04,Hannover 96,3,1
10,PASS,Bayer 04 Leverkusen,TSG Hoffenheim,1,4
10,PASS,FC Augsburg,1. FC Nürnberg,2,2
10,PASS,VfL Wolfsburg,Borussia Dortmund,0,1
10,PASS,Hertha BSC,RB Leipzig,0,3
10,PASS,Borussia Mönchengladbach,Fortuna Düsseldorf,3,0
10,PASS,1. FSV Mainz 05,SV Werder Bremen,2,1
11,PASS,Hannover 96,VfL Wolfsburg,2,1
11,PASS,TSG Hoffenheim,FC Augsburg,2,1
11,PASS,SV Werder Bremen,Borussia Mönchengladbach,1,3
11,PASS,SC Freiburg,1. FSV Mainz 05,1,3
11,PASS,Fortuna Düsseldorf,Hertha BSC,4,1
11,PASS,1. FC Nürnberg,VfB Stuttgart,0,2
11,PASS,Borussia Dortmund,Bayern München,3,2
11,PASS,RB Leipzig,Bayer 04 Leverkusen,3,0
11,PASS,Eintracht Frankfurt,FC Schalke 04,3,0
12,PASS,Bayer 04 Leverkusen,VfB Stuttgart,2,0
12,PASS,Bayern München,Fortuna Düsseldorf,3,3
12,PASS,Hertha BSC,TSG Hoffenheim,3,3
12,PASS,FC Augsburg,Eintracht Frankfurt,1,3
12,PASS,1. FSV Mainz 05,Borussia Dortmund,1,2
12,PASS,VfL Wolfsburg,RB Leipzig,1,0
12,PASS,FC Schalke 04,1. FC Nürnberg,5,2
12,PASS,SC Freiburg,SV Werder Bremen,1,1
12,PASS,Borussia Mönchengladbach,Hannover 96,4,1
13,PASS,Fortuna Düsseldorf,1. FSV Mainz 05,0,1
13,PASS,Borussia Dortmund,SC Freiburg,2,0
13,PASS,VfB Stuttgart,FC Augsburg,1,0
13,PASS,SV Werder Bremen,Bayern München,1,2
13,PASS,Hannover 96,Hertha BSC,0,2
13,PASS,TSG Hoffenheim,FC Schalke 04,1,1
13,PASS,RB Leipzig,Borussia Mönchengladbach,2,0
13,PASS,Eintracht Frankfurt,VfL Wolfsburg,1,2
13,PASS,1. FC Nürnberg,Bayer 04 Leverkusen,1,1
14,PASS,SV Werder Bremen,Fortuna Düsseldorf,3,1
14,PASS,Bayern München,1. FC Nürnberg,3,0
14,PASS,FC Schalke 04,Borussia Dortmund,1,2
14,PASS,Bayer 04 Leverkusen,FC Augsburg,1,0
14,PASS,SC Freiburg,RB Leipzig,3,0
14,PASS,VfL Wolfsburg,TSG Hoffenheim,2,2
14,PASS,Hertha BSC,Eintracht Frankfurt,1,0
14,PASS,1. FSV Mainz 05,Hannover 96,1,1
14,PASS,Borussia Mönchengladbach,VfB Stuttgart,3,0
15,PASS,1. FC Nürnberg,VfL Wolfsburg,0,2
15,PASS,TSG Hoffenheim,Borussia Mönchengladbach,0,0
15,PASS,VfB Stuttgart,Hertha BSC,2,1
15,PASS,FC Augsburg,FC Schalke 04,1,1
15,PASS,Hannover 96,Bayern München,0,4
15,PASS,Fortuna Düsseldorf,SC Freiburg,2,0
15,PASS,Borussia Dortmund,SV Werder Bremen,2,1
15,PASS,RB Leipzig,1. FSV Mainz 05,4,1
15,PASS,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1
16,PASS,Borussia Mönchengladbach,1. FC Nürnberg,2,0
16,PASS,Hertha BSC,FC Augsburg,2,2
16,PASS,VfL Wolfsburg,VfB Stuttgart,2,0
16,PASS,Fortuna Düsseldorf,Borussia Dortmund,2,1
16,PASS,FC Schalke 04,Bayer 04 Leverkusen,1,2
16,PASS,Bayern München,RB Leipzig,1,0
16,PASS,SV Werder Bremen,TSG Hoffenheim,1,1
16,PASS,SC Freiburg,Hannover 96,1,1
16,PASS,1. FSV Mainz 05,Eintracht Frankfurt,2,2
17,PASS,Borussia Dortmund,Borussia Mönchengladbach,2,1
17,PASS,Bayer 04 Leverkusen,Hertha BSC,3,1
17,PASS,RB Leipzig,SV Werder Bremen,3,2
17,PASS,VfB Stuttgart,FC Schalke 04,1,3
17,PASS,Hannover 96,Fortuna Düsseldorf,0,1
17,PASS,1. FC Nürnberg,SC Freiburg,0,1
17,PASS,Eintracht Frankfurt,Bayern München,0,3
17,PASS,FC Augsburg,VfL Wolfsburg,2,3
17,PASS,TSG Hoffenheim,1. FSV Mainz 05,1,1
18,OPEN,TSG Hoffenheim,Bayern München,,
18,OPEN,Bayer 04 Leverkusen,Borussia Mönchengladbach,,
18,OPEN,VfB Stuttgart,1. FSV Mainz 05,,
18,OPEN,Eintracht Frankfurt,SC Freiburg,,
18,OPEN,FC Augsburg,Fortuna Düsseldorf,,
18,OPEN,Hannover 96,SV Werder Bremen,,
18,OPEN,RB Leipzig,Borussia Dortmund,,
18,OPEN,1. FC Nürnberg,Hertha BSC,,
18,OPEN,FC Schalke 04,VfL Wolfsburg,,
19,OPEN,Hertha BSC,FC Schalke 04,,
19,OPEN,Borussia Dortmund,Hannover 96,,
19,OPEN,Borussia Mönchengladbach,FC Augsburg,,
19,OPEN,SC Freiburg,TSG Hoffenheim,,
19,OPEN,1. FSV Mainz 05,1. FC Nürnberg,,
19,OPEN,VfL Wolfsburg,Bayer 04 Leverkusen,,
19,OPEN,SV Werder Bremen,Eintracht Frankfurt,,
19,OPEN,Bayern München,VfB Stuttgart,,
19,OPEN,Fortuna Düsseldorf,RB Leipzig,,
